X1	X28	X50	X25	X11	X34	X16	X46	X2	X8	X39	X35	X17	X45	X18	X29	X38	X21	X12	X5	X32	X26	X48	X19	X31	X10	X44	X9	X23	X30	X14	X36	X4	X22	X43	X24	X42	X41	X37	X13	X7	X33	X3	X27	X49	X6	X20	X40	X47	X15
-0.5724	1.308	-2.01	-0.8275	-0.5731	-1.1505	-2.1821	0.7159	2.2965	4.1343	2.0266	2.3002	-1.0618	0.6423	0.7575	1.0997	-1.4537	2.553	1.6527	0.5546	2.1092	2.952	-3.9573	-1.52	-0.4726	-2.2473	3.8207	1.274	2.1681	-1.1673	1.425	-5.4196	1.8468	3.7956	-3.6697	0.1504	0.3891	0.9909	-0.1278	-3.3492	-0.5412	0.19	-1.718	-5.6177	-0.6014	-1.876	-0.8198	-1.5808	2.0475	-1.1218
1.8252	-2.0963	1.2105	-1.0607	-2.3388	-0.141	-0.4196	-0.6703	-1.2145	1.3685	-5.4008	-2.2015	-1.2863	2.3777	-1.8655	7.5616	-2.0837	-0.8695	-0.8334	-1.4109	-0.68	4.4298	5.2482	0.688	2.4163	-0.2648	-3.1499	1.8735	-1.6304	-2.0317	1.2182	0.9606	-1.7244	5.0798	1.2733	0.6482	1.252	1.5698	-1.4117	1.3257	-1.0709	1.4648	3.2393	0.9306	-0.9952	0.9154	1.1057	-1.9704	-0.9949	0.5712
-0.6831	-0.5284	5.1498	1.7039	1.5132	-0.6549	-0.2656	-1.8932	1.406	0.72	4.6478	1.1358	0.2308	-1.1003	-1.2838	3.2453	-1.6697	-0.6008	-3.1442	-0.3522	-2.548	-0.4253	-0.3223	-1.1858	1.4343	1.4633	0.0163	1.8476	-0.5439	-1.8649	-2.9442	-0.423	0.887	2.1075	4.2079	1.6397	2.7623	1.8909	-1.7435	-3.1287	1.6174	0.3245	0.453	0.703	-1.0313	0.5584	-0.4528	-1.9607	-1.0286	1.2
-1.0854	0.2113	-1.1265	-0.2963	-2.5367	2.3232	-2.4196	1.6037	0.0321	-0.9479	1.519	-1.2464	0.4394	-3.0984	-2.6307	0.2739	-0.4181	-1.9437	-0.0848	3.3655	-0.6974	-0.1005	3.9058	1.236	2.3756	1.885	-1.6355	2.0381	-1.1753	-2.2637	0.7543	-0.9002	0.8187	1.4235	3.9242	-4.5418	3.1129	-1.056	-0.6449	-2.4595	-0.0085	2.3146	0.6655	2.064	1.8849	0.2935	3.2999	-3.3879	-4.0384	0.6871
1.1085	-0.4175	-0.8844	-1.5544	1.5043	0.4494	-0.4701	0.6995	-0.8649	1.6012	-0.9538	-1.3987	2.1333	-2.1505	4.0809	0.9129	1.3619	1.3246	0.4358	-2.4469	-2.2262	-1.3934	-2.092	0.4478	0.754	0.9711	-3.4025	-1.3513	0.4047	1.0982	-2.0343	-2.1806	-0.1971	-0.862	-1.9325	-1.2042	-2.6148	-0.7808	3.3261	0.8396	1.0703	1.5095	1.3838	-1.6717	1.3238	-0.4863	-0.279	0.419	-3.1354	-1.6831
1.1186	-0.0455	-1.9465	-1.0086	-0.2929	1.3451	-0.3618	0.6505	0.408	0.5672	-0.204	-1.1122	-0.1845	-0.0679	-1.7602	0.574	-0.2738	1.2117	1.336	-0.4449	1.4426	-0.8635	0.7845	4.3937	0.8776	0.5958	0.3855	0.2854	-2.3368	1.3711	-1.5172	-0.4774	-0.2259	0.3847	-1.4994	0.8489	2.0713	-1.0567	-1.9299	0.2095	-0.0818	-0.8503	0.6752	-1.5891	1.9565	1.7831	0.9254	0.8347	0.1428	-1.7033
-0.4829	-2.2581	0.0324	0.3332	2.6793	1.8197	-0.0003	-0.3475	-0.1935	-3.8547	3.7161	1.6603	0.5141	-0.5891	2.4044	2.2166	-0.6643	-0.5141	3.055	-1.3814	0.9975	2.5904	-0.4757	-1.211	2.2759	1.2408	-1.5913	-0.8282	0.8833	2.228	-0.0137	0.3164	2.7574	-0.3191	-7.1257	1.4297	-4.0315	0.701	0.1346	-2.4081	-0.5137	-3.5262	0.2239	4.4688	2.8451	0.4223	-0.585	-0.6527	-1.8838	-1.2808
-1.2626	1.3301	-0.0486	-0.2042	0.8148	1.8402	-2.051	3.6008	0.0996	1.2728	2.1048	-0.5329	1.0279	1.5764	3.1263	0.1803	-1.052	0.0758	0.5099	-2.0708	-1.4953	2.2095	0.573	0.347	-4.0893	-0.0981	-0.273	0.7274	-0.0572	2.7189	-2.3693	-1.6196	-0.9953	1.7599	-7.6167	0.524	0.1564	0.8959	-0.1335	1.7015	1.0565	-1.3648	-0.9943	0.7885	1.1819	1.2653	1.3484	-1.7324	0.2647	-1.5933
-1.5522	-2.0622	0.6233	0.909	2.7942	0.507	0.5325	1.2905	0.5911	1.1293	4.1652	2.2728	-4.2219	-1.81	-2.7585	0.4924	-0.1715	-0.9517	-0.2287	2.4867	-0.1567	-0.9082	-1.8102	-1.0191	0.792	1.8797	0.2583	-0.195	-2.674	1.9102	-1.6227	-0.3153	1.0171	0.2161	1.3326	0.1342	2.5239	-0.3466	-0.0987	-2.023	0.1027	1.7406	-1.1985	0.5038	-0.1802	-2.1063	0.0937	-0.1617	-0.8301	2.1383
1.346	-1.3033	0.0337	-2.1238	1.1295	-0.0469	-2.3885	-0.4961	0.3124	1.2282	0.4839	-1.4009	-1.846	-0.6476	-1.3669	2.244	0.5921	-2.0084	-1.5436	-0.213	-1.8481	2.7121	-4.768	0.1611	2.1633	3.1323	-0.7497	0.4052	-1.2436	0.8373	-0.6888	0.1588	1.1322	0.1686	-1.6984	0.0396	-0.8165	-0.1681	1.6105	-2.2368	0.0346	2.7027	2.8388	1.3278	0.6565	-2.1468	4.0769	-2.5008	0.8785	-0.7474
