15/07/2022 15:05:54

Statistics:

AP = Adjacency Precision
AR = Adjacency Recall
AHP = Arrowhead Precicion
AHR = Arrowhead Recall
McAdj = Matthews correlation coefficient for adjacencies
McArrow = Matthews correlation coefficient for arrowheads
F1Adj = F1 statistics for adjacencies
F1Arrow = F1 statistics for arrowheads
SHD = Structural Hamming Distance
E = Elapsed time in seconds

Simulation:

reps: 10
number of variables: [10, 20]
average degree: [2, 4]
rnumber of samples: [1000, 10000]


Algorithms:

1. PC_CL
2. PC_CC
3. PCMAX_CC
4. FGES_CC
5. FCI_CL
6. GRASP_CC

* Opening the Causal Command jar and loading in the data is considered in the Elapsed time for CC algorithms *

Average:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.99   0.88   0.89   0.89   0.82   0.93   0.92   0.83   0.93   0.83   1.50   0.12   
	1     0.97   0.91   0.85   0.86   0.82   0.87   0.92   0.81   0.94   0.82   1.50   0.10   
	1     0.96   0.65   0.71   0.74   0.47   0.74   0.68   0.51   0.77   0.56   9.30   0.21   
	1     0.93   0.71   0.51   0.54   0.36   0.52   0.70   0.34   0.81   0.47   10.10   0.41   
	1     0.97   0.90   0.85   0.89   0.79   0.88   0.93   0.81   0.93   0.81   3.10   0.43   
	1     0.97   0.96   0.89   0.92   0.90   0.94   0.96   0.89   0.96   0.89   1.90   0.84   
	1     0.99   0.73   0.88   0.89   0.59   0.82   0.82   0.70   0.84   0.71   13.10   0.74   
	1     0.97   0.80   0.87   0.90   0.69   0.86   0.86   0.75   0.88   0.77   10.80   3.44   
	2     0.99   0.89   0.68   0.68   0.64   0.73   0.92   0.62   0.94   0.64   2.40   1.94   
	2     0.97   0.91   0.74   0.75   0.74   0.80   0.92   0.71   0.94   0.73   2.00   2.37   
	2     0.96   0.65   0.33   0.34   0.23   0.36   0.67   0.16   0.77   0.30   13.30   1.96   
	2     0.93   0.72   0.36   0.39   0.32   0.46   0.71   0.22   0.81   0.34   12.30   2.41   
	2     0.97   0.90   0.59   0.61   0.54   0.60   0.93   0.55   0.93   0.56   6.00   2.03   
	2     0.97   0.96   0.69   0.72   0.70   0.73   0.96   0.68   0.96   0.69   4.00   2.63   
	2     0.98   0.73   0.43   0.44   0.33   0.46   0.81   0.33   0.84   0.38   22.80   2.14   
	2     0.96   0.80   0.46   0.48   0.41   0.51   0.85   0.38   0.87   0.43   22.10   2.74   
	3     0.99   0.89   0.94   0.94   0.78   0.88   0.92   0.84   0.94   0.84   1.50   1.79   
	3     0.97   0.91   0.88   0.90   0.84   0.91   0.92   0.84   0.94   0.85   1.50   2.24   
	3     0.96   0.65   0.58   0.60   0.41   0.63   0.67   0.40   0.77   0.47   10.90   1.84   
	3     0.93   0.72   0.59   0.63   0.52   0.71   0.71   0.47   0.81   0.54   9.30   2.36   
	3     0.97   0.90   0.85   0.89   0.76   0.85   0.93   0.80   0.93   0.80   3.20   1.98   
	3     0.97   0.96   0.93   0.96   0.86   0.90   0.96   0.89   0.96   0.89   1.90   2.62   
	3     0.98   0.73   0.79   0.80   0.57   0.79   0.81   0.64   0.84   0.66   15.00   2.08   
	3     0.96   0.80   0.80   0.84   0.68   0.85   0.85   0.72   0.87   0.74   12.20   2.86   
	4     0.99   0.93   0.85   0.86   0.84   0.88   0.95   0.81   0.96   0.81   1.10   1.82   
	4     0.92   0.95   0.87   0.93   0.91   0.93   0.91   0.88   0.93   0.89   1.90   2.31   
	4     0.87   0.83   0.66   0.75   0.65   0.76   0.73   0.58   0.85   0.65   8.60   1.88   
	4     0.80   0.91   0.42   0.53   0.53   0.60   0.73   0.36   0.85   0.47   10.60   2.46   
	4     0.97   0.92   0.89   0.92   0.78   0.85   0.93   0.82   0.94   0.82   3.00   2.04   
	4     1.00   0.97   0.99   0.99   0.92   0.95   0.98   0.95   0.98   0.95   0.70   2.70   
	4     0.88   0.85   0.74   0.83   0.70   0.83   0.83   0.69   0.86   0.71   14.40   2.20   
	4     0.87   0.93   0.75   0.86   0.82   0.88   0.87   0.76   0.89   0.78   12.40   2.91   
	5     0.99   0.88   0.81   0.81   0.84   0.96   0.92   0.79   0.93   0.80   2.30   0.04   
	5     0.97   0.91   0.75   0.77   0.88   0.95   0.92   0.78   0.94   0.79   2.30   0.08   
	5     0.96   0.65   0.51   0.53   0.56   0.88   0.68   0.44   0.77   0.53   13.80   0.08   
	5     0.93   0.71   0.47   0.51   0.64   0.89   0.70   0.44   0.81   0.53   13.40   0.32   
	5     0.97   0.90   0.66   0.68   0.81   0.90   0.93   0.71   0.93   0.71   6.30   0.17   
	5     0.97   0.96   0.73   0.77   0.94   0.99   0.96   0.82   0.96   0.82   4.40   0.54   
	5     0.99   0.73   0.58   0.59   0.67   0.93   0.82   0.59   0.84   0.62   24.50   0.45   
	5     0.97   0.80   0.60   0.62   0.77   0.97   0.86   0.64   0.88   0.67   22.50   2.56   
	6     1.00   0.94   0.89   0.89   0.88   0.91   0.96   0.86   0.97   0.85   0.80   1.95   
	6     1.00   0.97   1.00   1.00   1.00   1.00   0.98   1.00   0.98   1.00   0.30   2.40   
	6     1.00   0.87   0.95   0.95   0.85   0.97   0.89   0.88   0.93   0.89   2.70   1.95   
	6     1.00   0.94   0.92   0.92   0.93   0.98   0.95   0.91   0.97   0.92   1.30   2.45   
	6     0.99   0.93   0.97   0.99   0.85   0.90   0.95   0.90   0.96   0.90   1.70   2.14   
	6     1.00   0.97   1.00   1.00   0.94   0.97   0.98   0.97   0.98   0.97   0.60   2.67   
	6     0.99   0.87   0.95   0.96   0.81   0.93   0.91   0.87   0.93   0.87   5.90   2.12   
	6     1.00   0.96   0.99   0.99   0.94   0.99   0.97   0.96   0.98   0.96   1.80   2.77   

Standard Deviation:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.03   0.07   0.17   0.17   0.14   0.11   0.05   0.11   0.04   0.11   0.67   0.04   
	1     0.05   0.08   0.16   0.15   0.22   0.16   0.06   0.19   0.05   0.18   1.28   0.02   
	1     0.05   0.05   0.17   0.19   0.16   0.21   0.06   0.18   0.05   0.16   1.79   0.05   
	1     0.06   0.07   0.21   0.22   0.17   0.24   0.09   0.20   0.06   nan    1.92   0.10   
	1     0.03   0.04   0.12   0.11   0.12   0.10   0.03   0.11   0.03   0.10   1.30   0.02   
	1     0.04   0.05   0.11   0.10   0.10   0.10   0.04   0.09   0.03   0.09   1.58   0.22   
	1     0.01   0.04   0.09   0.09   0.06   0.09   0.03   0.07   0.03   0.07   2.26   0.09   
	1     0.02   0.05   0.09   0.08   0.10   0.08   0.04   0.10   0.04   0.09   3.12   0.55   
	2     0.03   0.08   0.27   0.27   0.24   0.26   0.06   0.25   0.05   0.24   1.20   0.04   
	2     0.05   0.08   0.24   0.23   0.25   0.22   0.06   0.25   0.05   0.23   1.41   0.06   
	2     0.06   0.05   0.18   0.18   0.11   0.16   0.07   0.16   0.05   nan    2.28   0.06   
	2     0.06   0.08   0.14   0.15   0.10   0.17   0.10   0.13   0.06   0.11   2.00   0.11   
	2     0.03   0.04   0.20   0.19   0.13   0.13   0.03   0.16   0.03   0.15   2.14   0.04   
	2     0.04   0.05   0.17   0.16   0.16   0.16   0.04   0.16   0.03   0.15   1.79   0.03   
	2     0.02   0.04   0.09   0.09   0.07   0.09   0.03   0.08   0.03   0.07   2.32   0.06   
	2     0.03   0.05   0.14   0.14   0.12   0.13   0.04   0.14   0.03   0.13   4.06   0.07   
	3     0.03   0.08   0.11   0.11   0.19   0.16   0.06   0.15   0.05   0.15   1.02   0.06   
	3     0.05   0.08   0.17   0.16   0.18   0.14   0.06   0.17   0.05   0.16   1.12   0.05   
	3     0.06   0.05   0.15   0.17   0.12   0.16   0.07   0.14   0.05   0.12   2.26   0.07   
	3     0.06   0.08   0.21   0.21   0.14   0.17   0.10   0.18   0.06   0.15   2.45   0.14   
	3     0.03   0.04   0.11   0.09   0.12   0.10   0.03   0.09   0.03   0.09   1.40   0.07   
