06/03/2023 12:09:17

Statistics:

AP = Adjacency Precision
AR = Adjacency Recall
AHP = Arrowhead Precicion
AHR = Arrowhead Recall
McAdj = Matthews correlation coefficient for adjacencies
McArrow = Matthews correlation coefficient for arrowheads
F1Adj = F1 statistics for adjacencies
F1Arrow = F1 statistics for arrowheads
SHD = Structural Hamming Distance
E = Elapsed time in seconds

Simulation:

reps: 10
number of variables: [10, 20]
average degree: [2, 4]
rnumber of samples: [1000, 10000]


Algorithms:

1. PC_CL
2. PC_CC
3. PCMAX_CC
4. FGES_CC
5. FCI_CL
6. GRASP_CC
7. GESBIC_CL
8. GESCV_CL

* Opening the Causal Command jar and loading in the data is considered in the Elapsed time for CC algorithms *

Average:

	Alg   AP     AR     AHP    AHPC   AHR    AHRC   McAdj  McArr  F1Adj  F1Arr  SHD    E
	1     0.99   0.84   0.85   0.87   0.73   0.83   0.89   0.77   0.91   0.78   2.10   0.03   
	1     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   0.04   
	1     0.98   0.64   0.71   0.73   0.45   0.70   0.69   0.49   0.77   0.54   9.30   0.08   
	1     0.98   0.77   0.76   0.78   0.59   0.78   0.79   0.61   0.86   0.66   6.90   0.12   
	1     0.99   0.88   0.88   0.89   0.81   0.91   0.93   0.84   0.93   0.84   3.30   0.11   
	1     0.97   0.93   0.86   0.88   0.82   0.88   0.94   0.83   0.95   0.84   2.60   0.12   
	1     0.98   0.69   0.86   0.87   0.58   0.85   0.79   0.68   0.81   0.68   14.90   0.33   
	1     0.95   0.79   0.78   0.83   0.66   0.86   0.83   0.69   0.86   0.72   13.20   0.49   
	2     0.99   0.84   0.41   0.41   0.31   0.37   0.89   0.31   0.91   0.43   4.30   2.58   
	2     1.00   0.98   0.95   0.95   0.94   0.96   0.99   0.94   0.99   0.94   0.60   3.01   
	2     0.97   0.65   0.44   0.45   0.32   0.49   0.69   0.27   0.78   0.40   12.00   2.64   
	2     0.97   0.78   0.36   0.37   0.31   0.41   0.79   0.21   0.87   0.33   11.20   3.06   
	2     0.99   0.88   0.60   0.61   0.57   0.64   0.92   0.57   0.93   0.58   5.80   2.81   
	2     0.97   0.93   0.70   0.71   0.67   0.71   0.94   0.67   0.95   0.68   4.30   3.55   
	2     0.97   0.70   0.37   0.39   0.27   0.40   0.79   0.27   0.81   0.32   24.90   2.91   
	2     0.94   0.79   0.43   0.46   0.38   0.50   0.83   0.35   0.86   0.40   22.90   3.00   
	3     0.99   0.84   0.86   0.88   0.69   0.78   0.89   0.74   0.91   0.74   2.10   2.58   
	3     1.00   0.98   1.00   1.00   0.98   1.00   0.99   0.99   0.99   0.99   0.20   3.09   
	3     0.97   0.65   0.68   0.70   0.41   0.62   0.69   0.45   0.78   0.49   9.40   2.65   
	3     0.97   0.78   0.78   0.81   0.61   0.78   0.79   0.63   0.87   0.67   6.30   3.16   
	3     0.99   0.88   0.91   0.92   0.80   0.89   0.92   0.85   0.93   0.85   3.30   2.80   
	3     0.97   0.93   0.91   0.92   0.83   0.89   0.94   0.86   0.95   0.87   2.40   3.50   
	3     0.97   0.70   0.75   0.77   0.55   0.80   0.79   0.62   0.81   0.63   16.40   2.94   
	3     0.94   0.79   0.82   0.87   0.70   0.90   0.83   0.73   0.86   0.75   12.00   3.04   
